City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
flagstaff,1.0,US,1578687895.0,57.0,35.2,-111.65,283.71,1.5
hasaki,75.0,JP,1578687895.0,86.0,35.73,140.83,276.15,2.6
port lincoln,62.0,AU,1578687895.0,70.0,-34.73,135.87,289.26,5.42
lazaro cardenas,0.0,MX,1578687896.0,36.0,17.96,-102.2,306.96,2.17
lebu,0.0,CL,1578687896.0,52.0,-37.62,-73.65,291.93,5.27
mahebourg,20.0,MU,1578687896.0,88.0,-20.41,57.7,296.15,1.0
nueva loja,40.0,EC,1578687896.0,49.0,0.08,-76.88,306.15,3.1
salamiyah,0.0,SY,1578687897.0,77.0,35.01,37.05,279.06,2.02
riyadh,0.0,SA,1578687897.0,46.0,24.63,46.72,285.15,2.6
punta arenas,90.0,CL,1578687897.0,87.0,-53.15,-70.92,284.15,6.7
merauke,100.0,ID,1578687897.0,89.0,-8.47,140.33,297.63,1.84
kaka,100.0,TM,1578687897.0,76.0,37.35,59.61,280.23,4.13
ramanuj ganj,0.0,IN,1578687898.0,74.0,23.8,83.7,281.13,1.0
rikitea,14.0,PF,1578687898.0,83.0,-23.12,-134.97,297.85,9.25
alofi,75.0,NU,1578687898.0,78.0,-19.06,-169.92,301.15,7.7
saint-augustin,100.0,CA,1578687898.0,89.0,51.23,-58.65,264.59,6.19
guerrero negro,0.0,MX,1578687899.0,43.0,27.98,-114.06,292.41,4.8
port alfred,98.0,ZA,1578687899.0,84.0,-33.59,26.89,294.26,4.02
clyde river,20.0,CA,1578687899.0,74.0,70.47,-68.59,243.15,9.3
tuktoyaktuk,90.0,CA,1578687899.0,76.0,69.45,-133.04,249.15,7.2
lagoa,0.0,PT,1578687899.0,81.0,39.05,-27.98,291.15,9.98
busselton,0.0,AU,1578687900.0,39.0,-33.64,115.35,289.82,6.57
namibe,99.0,AO,1578687900.0,73.0,-15.2,12.15,296.13,3.47
puerto ayora,20.0,EC,1578687900.0,58.0,-0.74,-90.35,303.15,8.7
khatanga,100.0,RU,1578687900.0,96.0,71.97,102.5,256.41,3.07
narsaq,75.0,GL,1578687901.0,45.0,60.92,-46.05,258.15,1.5
bani walid,16.0,LY,1578687901.0,73.0,31.76,13.99,283.14,4.05
nikolskoye,90.0,RU,1578687901.0,92.0,59.7,30.79,273.15,2.0
bluff,100.0,NZ,1578687901.0,54.0,-46.6,168.33,289.82,7.15
bredasdorp,0.0,ZA,1578687902.0,83.0,-34.53,20.04,293.71,2.24
mar del plata,0.0,AR,1578687902.0,38.0,-38.0,-57.56,296.15,5.1
avarua,56.0,CK,1578687902.0,78.0,-21.21,-159.78,300.15,8.2
new norfolk,40.0,AU,1578687902.0,47.0,-42.78,147.06,286.15,6.7
saskylakh,100.0,RU,1578687902.0,96.0,71.92,114.08,250.64,6.74
quatre cocos,20.0,MU,1578687903.0,88.0,-20.21,57.76,296.15,1.0
saint-philippe,32.0,RE,1578687903.0,73.0,-21.36,55.77,297.15,2.6
vaini,0.0,IN,1578687903.0,85.0,15.34,74.49,291.88,2.28
mataura,98.0,NZ,1578687903.0,54.0,-46.19,168.86,289.82,7.15
ushuaia,90.0,AR,1578687904.0,50.0,-54.81,-68.31,285.15,2.1
bengkulu,100.0,ID,1578687808.0,90.0,-3.8,102.27,295.01,1.84
oda,100.0,JP,1578687904.0,84.0,35.18,132.5,275.03,1.64
atuona,26.0,PF,1578687905.0,73.0,-9.8,-139.03,300.57,9.14
horasan,12.0,TR,1578687905.0,85.0,40.05,42.17,259.92,1.19
myaundzha,100.0,RU,1578687905.0,95.0,63.05,147.19,242.35,2.12
barrow,1.0,US,1578687852.0,67.0,71.29,-156.79,240.15,4.1
san patricio,40.0,MX,1578687905.0,70.0,19.22,-104.7,303.15,6.92
vardo,100.0,NO,1578687906.0,86.0,70.37,31.11,272.15,9.3
porto walter,100.0,BR,1578687906.0,66.0,-8.27,-72.74,300.84,2.08
kholm,6.0,RU,1578687906.0,89.0,59.27,32.85,271.36,2.05
pag,71.0,HR,1578687906.0,93.0,44.45,15.06,275.15,1.5
korla,65.0,CN,1578687906.0,64.0,41.76,86.15,261.8,0.29
hopfgarten,75.0,DE,1578687907.0,80.0,50.98,11.27,280.37,6.2
manavalakurichi,20.0,IN,1578687907.0,94.0,8.13,77.3,298.15,11.88
two rivers,75.0,US,1578687907.0,80.0,44.15,-87.57,276.48,2.1
turan,40.0,VN,1578687907.0,88.0,16.07,108.22,296.15,0.5
roma,90.0,US,1578687774.0,93.0,43.21,-75.46,280.37,3.6
bethel,40.0,US,1578687889.0,66.0,41.37,-73.41,284.82,5.1
porto santo,75.0,PT,1578687908.0,59.0,33.07,-16.34,290.15,3.6
sinnamary,0.0,GF,1578687908.0,75.0,5.38,-52.95,299.6,6.45
mount gambier,90.0,AU,1578687610.0,67.0,-37.83,140.77,287.15,4.6
broome,90.0,US,1578687909.0,74.0,42.25,-75.83,279.82,3.1
marystown,100.0,CA,1578687909.0,74.0,47.17,-55.15,269.31,8.36
upernavik,0.0,GL,1578687909.0,70.0,72.79,-56.15,250.11,1.03
desna,100.0,UA,1578687909.0,100.0,50.93,30.76,275.15,3.0
hobart,40.0,AU,1578687699.0,47.0,-42.88,147.33,286.15,6.7
miraflores,5.0,MX,1578687910.0,19.0,19.22,-98.81,302.15,2.6
luderitz,0.0,NA,1578687910.0,64.0,-26.65,15.16,294.15,1.5
chuy,70.0,UY,1578687910.0,75.0,-33.7,-53.46,299.53,5.37
faanui,30.0,PF,1578687911.0,73.0,-16.48,-151.75,300.83,7.5
uyemskiy,90.0,RU,1578687911.0,86.0,64.47,40.85,271.15,6.0
bambous virieux,20.0,MU,1578687911.0,88.0,-20.34,57.76,296.15,1.0
nuevo progreso,53.0,MX,1578687911.0,67.0,23.17,-97.95,300.37,4.47
